GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5170528,160,51,,,,,,Savageville CDP,175,94,,,47,
5170704,160,51,,,,,,Schuyler CDP,298,159,,,82,
5170715,160,51,,,,,,Scotland CDP,203,155,,,54,
5170800,160,51,,,,,,Scottsville town,566,308,555,300,136,146
5171040,160,51,,,,,,Sedley CDP,470,216,,,136,
5171072,160,51,,,,,,Selma CDP,529,235,485,217,135,135
5171216,160,51,,,,,,Seven Corners CDP,9255,3767,8701,3378,1981,1894
5171264,160,51,,,,,,Seven Mile Ford CDP,783,400,,,197,
5171625,160,51,,,,,,Shawneeland CDP,1873,839,,,524,
5171632,160,51,,,,,,Shawsville CDP,1310,635,1029,443,355,299
5171810,160,51,,,,,,Shenandoah Farms CDP,3033,1396,,,780,
5171825,160,51,,,,,,Shenandoah Retreat CDP,518,270,,,141,
5171826,160,51,,,,,,Shenandoah Shores CDP,934,355,,,229,
5171904,160,51,,,,,,Sherando CDP,688,310,665,281,188,207
5172080,160,51,,,,,,Shipman CDP,507,261,,,127,
5172272,160,51,,,,,,Short Pump CDP,24729,9795,182,77,6483,44
5172935,160,51,,,,,,Skyland Estates CDP,830,409,,,212,
5173376,160,51,,,,,,Snowville CDP,149,65,,,43,
5173760,160,51,,,,,,Southern Gateway CDP,2805,1240,,,659,
5173894,160,51,,,,,,Southampton Meadows CDP,592,221,,,140,
5173904,160,51,,,,,,South Hill town,4650,2227,4403,1988,1209,1191
5174100,160,51,,,,,,South Riding CDP,24256,7653,,,6228,
5174120,160,51,,,,,,South Run CDP,6389,2113,,,1936,
5174160,160,51,,,,,,Southside Chesconessex CDP,131,99,,,43,
5174384,160,51,,,,,,Sperryville CDP,342,179,,,100,
5174470,160,51,,,,,,Spotsylvania Courthouse CDP,4239,1525,3833,1268,1138,1010
5174592,160,51,,,,,,Springfield CDP,30484,10630,30417,10832,6884,7476
5174848,160,51,,,,,,Springville CDP,1371,618,,,394,
5174916,160,51,,,,,,Stafford Courthouse CDP,4320,1188,,,749,
5175216,160,51,,,,,,Staunton city,23746,11738,23853,10427,5982,5766
5175344,160,51,,,,,,Stephens City town,1829,835,1146,546,447,291
5175376,160,51,,,,,,Sterling CDP,27822,9603,,,6476,
5175702,160,51,,,,,,Stone Ridge CDP,7214,2450,,,1896,
5175840,160,51,,,,,,Stony Creek town,198,108,202,118,54,56
5176000,160,51,,,,,,Strasburg town,6398,2950,4017,1877,1670,1087
5176272,160,51,,,,,,Stuarts Draft CDP,9235,3962,8367,3279,2649,2438
5176416,160,51,,,,,,Sudley CDP,16203,5377,7719,2703,3610,1998
5176432,160,51,,,,,,Suffolk city,84585,33035,63677,24704,23135,17730
5176464,160,51,,,,,,Sugarland Run CDP,11799,3716,,,2864,
5176880,160,51,,,,,,Surry town,244,118,262,119,67,80
5176912,160,51,,,,,,Sussex CDP,256,71,,,48,
5177520,160,51,,,,,,Tangier town,727,377,604,270,234,181
5177568,160,51,,,,,,Tappahannock town,2375,1131,2068,946,552,495
5177648,160,51,,,,,,Tasley CDP,300,147,,,73,
5177856,160,51,,,,,,Temperanceville CDP,358,167,,,95,
5177925,160,51,,,,,,Templeton CDP,431,189,,,121,
5178192,160,51,,,,,,The Plains town,217,105,266,118,57,71
5178532,160,51,,,,,,Thynedale CDP,197,85,,,52,
5178688,160,51,,,,,,Timberlake CDP,12183,5487,10683,4707,3354,3151
5178736,160,51,,,,,,Timberville town,2522,1166,1739,770,681,465
5179024,160,51,,,,,,Toms Brook town,258,111,255,103,71,70
5179360,160,51,,,,,,Triangle CDP,8188,3143,5500,2318,1964,1341
5179472,160,51,,,,,,Troutville town,431,226,432,202,126,135
5179560,160,51,,,,,,Tuckahoe CDP,44990,19679,43242,18647,12064,11957
5179768,160,51,,,,,,Twin Lakes CDP,1647,553,,,416,
5179952,160,51,,,,,,Tysons Corner CDP,19627,10637,18540,9474,4754,4512
5180016,160,51,,,,,,Union Level CDP,188,77,,,51,
5180120,160,51,,,,,,University Center CDP,3586,1720,,,835,
5180165,160,51,,,,,,University of Virginia CDP,7704,1379,,,386,
5180272,160,51,,,,,,Urbanna town,476,368,543,354,133,161
5180608,160,51,,,,,,Vansant CDP,470,282,989,500,145,309
5181024,160,51,,,,,,Victoria town,1725,888,1821,903,460,517
5181072,160,51,,,,,,Vienna town,15687,5686,14453,5438,4215,3980
5181152,160,51,,,,,,Villa Heights CDP,717,350,845,358,194,229
5181280,160,51,,,,,,Vinton town,8098,3774,7782,3471,2174,2178
5181312,160,51,,,,,,Virgilina town,154,87,159,86,42,43
5182371,160,51,,,,,,Wakefield CDP,11275,3931,,,3262,
5182384,160,51,,,,,,Wakefield town,927,455,1038,485,244,285
5183056,160,51,,,,,,Warfield CDP,115,61,,,32,
5183088,160,51,,,,,,Warm Springs CDP,123,108,,,30,
5183136,160,51,,,,,,Warrenton town,9611,3966,6670,2856,2307,1591
5183168,160,51,,,,,,Warsaw town,1512,555,1375,468,248,233
5183568,160,51,,,,,,Wattsville CDP,1128,582,,,325,
5183600,160,51,,,,,,Waverly town,2149,936,2309,960,546,570
5183680,160,51,,,,,,Waynesboro city,21006,9717,19520,8863,5589,5434
5183808,160,51,,,,,,Weber City town,1327,683,1333,689,362,383
5184366,160,51,,,,,,West Falls Church CDP,29207,10586,,,6775,
5184632,160,51,,,,,,Westlake Corner CDP,976,663,899,515,333,322
5184960,160,51,,,,,,West Point town,3306,1379,2866,1151,908,810
5184976,160,51,,,,,,West Springfield CDP,22460,8556,28378,10425,6105,7839
5185184,160,51,,,,,,Weyers Cave CDP,2473,910,1225,490,663,355
5185608,160,51,,,,,,Whitesville CDP,219,114,,,60,
5186160,160,51,,,,,,Williamsburg city,14068,5176,11998,3880,2252,1787
5186720,160,51,,,,,,Winchester city,26203,11872,23585,10587,5957,5649
5186784,160,51,,,,,,Windsor town,2626,1059,916,422,710,270
5187008,160,51,,,,,,Wintergreen CDP,165,2291,,,58,
5187240,160,51,,,,,,Wolf Trap CDP,16131,5361,14001,4606,4739,4172
5187312,160,51,,,,,,Woodbridge CDP,4055,1806,31941,11026,1079,7769
5187333,160,51,,,,,,Woodburn CDP,8480,3234,,,2203,
5187380,160,51,,,,,,Woodlake CDP,7319,2688,,,2164,
5187408,160,51,,,,,,Woodlawn CDP,2343,1017,2249,926,613,597
5187430,160,51,,,,,,Woodlawn CDP,20804,7491,,,4771,
5187712,160,51,,,,,,Woodstock town,5097,2421,3952,1840,1282,1030
5187960,160,51,,,,,,Wyndham CDP,9785,3266,6176,2190,2721,1734
5188000,160,51,,,,,,Wytheville town,8211,4258,7804,3776,2175,2113
5188145,160,51,,,,,,Yogaville CDP,226,141,,,41,
5188240,160,51,,,,,,Yorktown CDP,195,126,203,129,56,46
5109016,160,51,,,,,,Boydton town,431,159,454,165,83,96
5116608,160,51,,,,,,Christiansburg town,21041,9556,16947,7430,5609,4764
5123376,160,51,,,,,,Drakes Branch town,530,267,504,262,126,135
5124496,160,51,,,,,,East Highland Park CDP,14796,6295,12488,5226,3913,3314
5131936,160,51,,,,,,Gordonsville town,1496,710,1498,688,388,401
5137880,160,51,,,,,,Hollins CDP,14673,6435,14309,5947,3800,3783
5144696,160,51,,,,,,Lebanon town,3424,1681,3273,1548,884,886
5150984,160,51,,,,,,Melfa town,408,202,450,205,107,131
5153992,160,51,,,,,,Mount Jackson town,1994,843,1664,718,525,440
5155752,160,51,,,,,,Newington CDP,12943,4439,19784,6793,3434,5322
5155848,160,51,,,,,,New Market town,2146,1048,1637,808,522,432
5161560,160,51,,,,,,Pennington Gap town,1781,962,1781,950,464,480
5162264,160,51,,,,,,Pimmit Hills CDP,6094,2324,6152,2299,1461,1532
5165392,160,51,,,,,,Radford city,16408,6427,15859,6137,2496,2644
5170096,160,51,,,,,,Saltville town,2077,967,2204,1003,593,661
5173712,160,51,,,,,,South Boston town,8142,3866,8491,3946,1990,2185
5175040,160,51,,,,,,Stanleytown CDP,1422,745,1515,723,413,443
5179456,160,51,,,,,,Troutdale town,178,107,1230,111,50,56
5100468,160,51,,,,,,Adwolf CDP,1530,677,1457,617,467,459
5103000,160,51,,,,,,Arlington CDP,207627,105404,189453,90426,41607,39322
5105912,160,51,,,,,,Belle Haven town,532,256,480,248,143,139
5107832,160,51,,,,,,Blackstone town,3621,1698,3675,1581,868,886
5108152,160,51,,,,,,Bluefield town,5444,2451,5078,2349,1471,1423
5108472,160,51,,,,,,Bon Air CDP,16366,7017,16213,6502,4403,4458
5108584,160,51,,,,,,Boones Mill town,239,127,285,138,67,77
5108888,160,51,,,,,,Bowling Green town,1111,482,936,425,290,213
5109032,160,51,,,,,,Boykins town,564,270,620,287,151,180
5111560,160,51,,,,,,Burkeville town,432,223,489,248,113,135
5112808,160,51,,,,,,Cape Charles town,1009,958,1134,740,264,278
5114952,160,51,,,,,,Charlotte Court House town,543,230,404,177,118,105
5114968,160,51,,,,,,Charlottesville city,43475,19189,45049,17591,7518,7626
5115000,160,51,,,,,,Chatham town,1269,619,1338,612,306,350
5115112,160,51,,,,,,Cheriton town,487,243,499,239,127,135
5117376,160,51,,,,,,Clifton town,282,93,185,70,78,53
5117680,160,51,,,,,,Cloverdale CDP,3119,1336,2986,1204,916,858
5118400,160,51,,,,,,Colonial Beach town,3542,2382,3228,2030,940,863
5119600,160,51,,,,,,Courtland town,1284,520,1270,498,315,301
5119904,160,51,,,,,,Craigsville town,923,450,979,474,253,272
5120240,160,51,,,,,,Crimora CDP,2209,920,1796,761,617,516
5121184,160,51,,,,,,Damascus town,814,523,981,543,215,269
5121648,160,51,,,,,,Dayton town,1530,662,1344,565,425,384
5122160,160,51,,,,,,Dendron town,272,136,297,121,68,75
5122560,160,51,,,,,,Dillwyn town,447,197,447,200,110,115
5123984,160,51,,,,,,Dunn Loring CDP,8803,3027,7861,2711,2382,2039
5126384,160,51,,,,,,Ewing CDP,439,222,436,216,123,128
5126416,160,51,,,,,,Exmore town,1460,769,1136,524,359,318
5127264,160,51,,,,,,Falmouth CDP,4274,1692,3624,1412,1133,997
5127296,160,51,,,,,,Fancy Gap CDP,237,152,260,156,68,82
5127440,160,51,,,,,,Farmville town,8216,2885,6845,2294,1162,1074
5127712,160,51,,,,,,Ferrum CDP,2043,534,1313,307,264,170
5127744,160,51,,,,,,Fieldale CDP,879,455,929,473,247,275
5127824,160,51,,,,,,Fincastle town,353,143,359,142,71,84
5127968,160,51,,,,,,Fishersville CDP,7462,3077,4998,1931,2034,1433
5128544,160,51,,,,,,Floyd town,425,277,432,264,111,117
5129152,160,51,,,,,,Fort Lee CDP,3393,866,7269,1445,780,1223
5129600,160,51,,,,,,Franklin city,8582,3901,8346,3767,2336,2279
5130176,160,51,,,,,,Gainesville CDP,11481,3959,4382,1842,3038,1305
5131136,160,51,,,,,,Glasgow town,1133,532,1046,494,304,296
5131608,160,51,,,,,,Gloucester Courthouse CDP,2951,1149,2269,907,691,561
5134240,160,51,,,,,,Hamilton town,506,232,562,224,141,158
5137336,160,51,,,,,,Hillsville town,2681,1474,2607,1352,728,732
5138280,160,51,,,,,,Honaker town,1449,684,945,445,408,271
5139064,160,51,,,,,,Huntington CDP,11267,6409,8325,4860,2335,1677
5139528,160,51,,,,,,Independence town,947,534,971,497,208,226
5141656,160,51,,,,,,Keller town,178,87,173,90,50,46
5141832,160,51,,,,,,Kenbridge town,1257,596,1253,579,334,320
5144520,160,51,,,,,,Lawrenceville town,1438,538,1275,459,265,209
5148344,160,51,,,,,,McKenney town,483,215,441,183,121,105
5149784,160,51,,,,,,Martinsville city,13821,7205,15416,7249,3565,4025
5151448,160,51,,,,,,Middleburg town,673,414,632,364,173,172
5152952,160,51,,,,,,Montross town,384,207,315,164,91,95
5154144,160,51,,,,,,Mount Vernon CDP,12416,4773,28582,10926,3483,7488
5158696,160,51,,,,,,Occoquan town,934,569,759,443,225,187
5159384,160,51,,,,,,Onley town,516,288,496,271,140,144
5160488,160,51,,,,,,Pamplin City town,219,104,199,89,52,51
5160680,160,51,,,,,,Parksley town,842,407,837,405,220,227
5160984,160,51,,,,,,Patrick Springs CDP,1845,937,2068,966,547,623
5163288,160,51,,,,,,Pocahontas town,389,215,441,230,97,123
5163928,160,51,,,,,,Port Royal town,126,75,170,90,32,44
5164880,160,51,,,,,,Pulaski town,9086,4511,9473,4517,2399,2670
5165008,160,51,,,,,,Purcellville town,7727,2491,3584,1292,1940,956
5166512,160,51,,,,,,Remington town,598,256,624,255,156,163
5167208,160,51,,,,,,Ridgeway town,742,361,775,327,210,222
5168496,160,51,,,,,,Rocky Mount town,4799,2249,4066,1796,1191,1018
5170576,160,51,,,,,,Saxis town,241,179,337,193,68,101
5170752,160,51,,,,,,Scottsburg town,119,63,145,64,34,40
5171776,160,51,,,,,,Shenandoah town,2373,1076,1878,812,648,542
5173200,160,51,,,,,,Smithfield town,8089,3323,6324,2552,2331,1831
5175008,160,51,,,,,,Stanardsville town,367,182,476,196,91,116
5175024,160,51,,,,,,Stanley town,1689,769,1326,598,455,363
5176256,160,51,,,,,,Stuart town,1408,731,961,516,315,247
5176448,160,51,,,,,,Sugar Grove CDP,758,374,741,365,204,213
5177792,160,51,,,,,,Tazewell town,4627,2204,4206,1804,1257,1099
5180000,160,51,,,,,,Union Hall CDP,1138,1215,957,813,411,326
5180864,160,51,,,,,,Verona CDP,4239,1556,3638,1562,984,1030
5182000,160,51,,,,,,Virginia Beach city,437994,177879,425257,162277,113999,110953
5182320,160,51,,,,,,Wachapreague town,232,230,236,225,70,69
5183248,160,51,,,,,,Washington town,135,97,183,117,32,49
5185600,160,51,,,,,,White Stone town,352,183,358,187,93,101
5187072,160,51,,,,,,Wise town,3286,1659,3255,1594,872,869
5188176,160,51,,,,,,Yorkshire CDP,7541,2401,6732,2332,1724,1664
