GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5115176,160,51,,,,,,Cherry Hill CDP,16000,5587,,,3872,
5116000,160,51,,,,,,Chesapeake city,222209,83196,199184,72672,59927,54158
5116096,160,51,,,,,,Chester CDP,20987,8320,17890,6951,5819,5116
5116240,160,51,,,,,,Chester Gap CDP,839,350,,,231,
5116480,160,51,,,,,,Chilhowie town,1781,790,1827,775,447,462
5116512,160,51,,,,,,Chincoteague town,2941,4517,4317,3970,867,1244
5116736,160,51,,,,,,Churchville CDP,194,90,,,54,
5116880,160,51,,,,,,Claremont town,378,217,343,240,110,100
5116992,160,51,,,,,,Clarksville town,1139,768,1329,753,314,380
5117120,160,51,,,,,,Claypool Hill CDP,1776,770,1719,760,540,565
5117296,160,51,,,,,,Cleveland town,202,116,148,113,47,44
5117440,160,51,,,,,,Clifton Forge town,3884,2004,4289,2069,982,1147
5117504,160,51,,,,,,Clinchco town,337,197,424,226,86,114
5117536,160,51,,,,,,Clinchport town,70,38,77,38,17,19
5117552,160,51,,,,,,Clintwood town,1414,710,1549,756,386,427
5117632,160,51,,,,,,Clover CDP,438,226,,,117,
5117776,160,51,,,,,,Cluster Springs CDP,811,387,,,238,
5117952,160,51,,,,,,Coeburn town,2139,962,1996,923,568,576
5118352,160,51,,,,,,Collinsville CDP,7335,3765,7777,3758,2017,2199
5118448,160,51,,,,,,Colonial Heights city,17411,7831,16897,7340,4682,4720
5118624,160,51,,,,,,Columbia town,83,30,49,22,19,13
5118880,160,51,,,,,,Concord CDP,1458,619,,,427,
5119560,160,51,,,,,,Countryside CDP,10072,3698,,,2609,
5119571,160,51,,,,,,County Center CDP,3270,1137,,,904,
5119728,160,51,,,,,,Covington city,5961,3067,6303,3195,1559,1742
5120160,160,51,,,,,,Crewe town,2326,1078,2378,1074,605,646
5120436,160,51,,,,,,Crosspointe CDP,5802,1806,,,1676,
5120560,160,51,,,,,,Crozet CDP,5565,2229,2820,1041,1522,757
5120752,160,51,,,,,,Culpeper town,16379,6271,9664,4139,3861,2444
5120768,160,51,,,,,,Cumberland CDP,393,178,,,108,
5121008,160,51,,,,,,Dahlgren CDP,2653,1184,997,510,702,261
5121016,160,51,,,,,,Dahlgren Center CDP,599,192,,,109,
5121088,160,51,,,,,,Dale City CDP,65969,20922,55971,18171,15888,14336
5121152,160,51,,,,,,Daleville CDP,2557,1154,1454,573,741,477
5121312,160,51,,,,,,Dante CDP,649,367,,,179,
5121344,160,51,,,,,,Danville city,43055,22438,48411,23108,11082,12931
5121776,160,51,,,,,,Deep Creek CDP,115,84,,,33,
5121872,160,51,,,,,,Deerfield CDP,132,78,,,39,
5122064,160,51,,,,,,Deltaville CDP,1119,1212,,,343,
5122976,160,51,,,,,,Dooms CDP,1327,629,1282,553,382,387
5123392,160,51,,,,,,Dranesville CDP,11921,3895,,,3351,
5123408,160,51,,,,,,Draper CDP,320,153,,,102,
5123584,160,51,,,,,,Dryden CDP,1208,518,1253,507,299,330
5123648,160,51,,,,,,Dublin town,2534,943,2288,969,493,538
5123680,160,51,,,,,,Duffield town,91,47,62,30,30,20
5123732,160,51,,,,,,Dulles Town Center CDP,4601,1797,,,1118,
5123744,160,51,,,,,,Dumbarton CDP,7879,3911,6674,3782,1730,1509
5123760,160,51,,,,,,Dumfries town,4961,1689,4937,1699,1146,1198
5123952,160,51,,,,,,Dungannon town,332,179,317,149,96,91
5124544,160,51,,,,,,East Lexington CDP,1463,688,,,318,
5124752,160,51,,,,,,Eastville town,305,79,203,75,46,43
5124816,160,51,,,,,,Ebony CDP,161,85,,,43,
5125008,160,51,,,,,,Edinburg town,1041,543,813,425,275,221
5125408,160,51,,,,,,Elkton town,2726,1314,2042,919,719,556
5125488,160,51,,,,,,Elliston CDP,902,386,,,238,
5125792,160,51,,,,,,Emory CDP,1251,310,,,179,
5125808,160,51,,,,,,Emporia city,5927,2565,5665,2412,1440,1406
5125877,160,51,,,,,,Enon CDP,3466,1626,,,980,
5125968,160,51,,,,,,Esmont CDP,528,243,,,142,
5126128,160,51,,,,,,Ettrick CDP,6682,1746,5627,1673,1010,989
