GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
5109064,160,51,,,,,,Bracey CDP,1554,2072,,,1554,,1324,,180,,6,,20,,1,,1,,22,
5109188,160,51,,,,,,Brambleton CDP,9845,3265,,,9845,,5966,,665,,20,,2547,,7,,158,,482,
5109208,160,51,,,,,,Branchville town,114,52,123,56,114,123,85,83,28,38,0,0,0,1,0,0,0,0,1,1
5109248,160,51,,,,,,Brandermill CDP,13173,5747,,,13173,,10883,,1417,,35,,448,,7,,90,,293,
5109656,160,51,,,,,,Bridgewater town,5644,2120,5203,1850,5644,5203,5202,4952,138,129,15,6,26,22,1,0,154,49,108,45
5109752,160,51,,,,,,Brightwood CDP,1001,409,,,1001,,911,,49,,1,,2,,0,,4,,34,
5109816,160,51,,,,,,Bristol city,17835,8831,17367,8469,17835,17367,16214,16072,1009,967,52,43,122,64,4,2,92,32,342,187
5109952,160,51,,,,,,Broadlands CDP,12313,3823,,,12313,,8798,,696,,28,,2095,,5,,188,,503,
5110040,160,51,,,,,,Broadway town,3691,1560,2192,976,3691,2192,3424,2131,37,14,22,5,24,15,0,0,119,13,65,14
5110072,160,51,,,,,,Brodnax town,298,144,317,139,298,317,159,163,129,154,0,0,0,0,0,0,6,0,4,0
5110296,160,51,,,,,,Brookneal town,1112,567,1259,580,1112,1259,691,803,404,437,2,0,0,0,0,0,5,7,10,12
5110744,160,51,,,,,,Buchanan town,1178,608,1233,579,1178,1233,1101,1120,37,98,2,1,2,4,0,0,0,0,36,10
5110776,160,51,,,,,,Buckhall CDP,16293,5325,,,16293,,12570,,1395,,101,,1166,,12,,487,,562,
5110856,160,51,,,,,,Buckingham Courthouse CDP,133,72,,,133,,88,,40,,0,,0,,0,,1,,4,
5111032,160,51,,,,,,Buena Vista city,6650,2936,6349,2716,6650,6349,6050,5940,347,305,73,19,29,27,12,1,28,5,111,52
5111230,160,51,,,,,,Bull Run CDP,14983,5946,11337,4948,14983,11337,7024,7193,3006,2151,84,31,1079,619,3,9,2953,911,834,423
5111245,160,51,,,,,,Bull Run Mountain Estates CDP,1251,484,,,1251,,1135,,45,,2,,15,,0,,17,,37,
5111464,160,51,,,,,,Burke CDP,41055,13884,57737,19367,41055,57737,28263,42936,2616,2910,112,124,7052,8462,20,47,1415,1370,1577,1888
5111470,160,51,,,,,,Burke Centre CDP,17326,6460,,,17326,,12163,,1018,,45,,2652,,16,,668,,764,
5112136,160,51,,,,,,Callaghan CDP,348,183,,,348,,315,,30,,0,,0,,0,,0,,3,
5112264,160,51,,,,,,Calverton CDP,239,119,,,239,,196,,26,,6,,3,,0,,5,,3,
5112590,160,51,,,,,,Camptown CDP,766,356,,,766,,308,,439,,1,,0,,0,,9,,9,
5112600,160,51,,,,,,Cana CDP,1254,624,1228,576,1254,1228,1207,1194,7,1,1,1,0,0,1,0,25,19,13,13
5112904,160,51,,,,,,Capron town,166,70,167,79,166,167,136,121,29,46,0,0,0,0,0,0,0,0,1,0
5112915,160,51,,,,,,Captains Cove CDP,1042,844,,,1042,,943,,68,,0,,11,,5,,1,,14,
5113160,160,51,,,,,,Carrollton CDP,4574,1895,,,4574,,3374,,928,,30,,83,,2,,40,,117,
5113192,160,51,,,,,,Carrsville CDP,359,172,,,359,,275,,79,,1,,0,,0,,3,,1,
5113403,160,51,,,,,,Cascades CDP,11912,4495,,,11912,,8653,,719,,27,,1652,,17,,273,,571,
5113512,160,51,,,,,,Castlewood CDP,2045,937,2036,950,2045,2036,1962,2005,28,19,8,2,2,0,0,0,24,1,21,9
5113624,160,51,,,,,,Catlett CDP,296,125,,,296,,268,,8,,14,,0,,0,,1,,5,
5113635,160,51,,,,,,Cats Bridge CDP,229,122,,,229,,27,,199,,0,,0,,0,,1,,2,
5113720,160,51,,,,,,Cave Spring CDP,24922,11832,24941,11556,24922,24941,22083,23186,1063,605,46,21,1070,738,7,6,194,111,459,274
5113784,160,51,,,,,,Cedar Bluff town,1137,573,1085,535,1137,1085,1126,1074,0,0,0,2,0,1,0,0,1,4,10,4
5114312,160,51,,,,,,Central Garage CDP,1318,520,,,1318,,1134,,104,,26,,5,,2,,12,,35,
5114440,160,51,,,,,,Centreville CDP,71135,25516,48661,18176,71135,48661,40565,33816,5334,4322,206,143,18264,6934,82,25,3576,1776,3108,1645
5114544,160,51,,,,,,Chamberlayne CDP,5456,2345,4380,1916,5456,4380,1899,2095,3205,2155,7,7,157,49,0,4,49,17,139,53
5114744,160,51,,,,,,Chantilly CDP,23039,7403,41041,15173,23039,41041,13261,30098,1506,2046,58,117,5814,6716,15,24,1403,826,982,1214
5114904,160,51,,,,,,Charles City CDP,133,67,,,133,,59,,72,,0,,0,,0,,0,,2,
5114984,160,51,,,,,,Chase City town,2351,1210,2457,1249,2351,2457,1134,1315,1131,1097,4,5,18,3,0,1,12,12,52,24
5114995,160,51,,,,,,Chase Crossing CDP,377,128,,,377,,147,,125,,6,,0,,2,,91,,6,
5115048,160,51,,,,,,Chatmoss CDP,1698,784,1742,715,1698,1742,1264,1399,360,273,1,3,21,31,0,0,37,20,15,16
5115176,160,51,,,,,,Cherry Hill CDP,16000,5587,,,16000,,4823,,7792,,66,,1303,,28,,1024,,964,
5116000,160,51,,,,,,Chesapeake city,222209,83196,199184,72672,222209,199184,139012,133193,66237,56823,871,770,6383,3673,169,101,2760,1400,6777,3224
5116096,160,51,,,,,,Chester CDP,20987,8320,17890,6951,20987,17890,14906,14541,4095,2403,104,78,472,386,13,19,833,188,564,275
5116240,160,51,,,,,,Chester Gap CDP,839,350,,,839,,798,,15,,1,,2,,0,,3,,20,
5116480,160,51,,,,,,Chilhowie town,1781,790,1827,775,1781,1827,1627,1726,31,56,1,6,6,1,0,0,96,27,20,11
5116512,160,51,,,,,,Chincoteague town,2941,4517,4317,3970,2941,4317,2804,4184,23,41,8,12,17,12,0,0,7,16,82,52
5116736,160,51,,,,,,Churchville CDP,194,90,,,194,,189,,0,,0,,1,,0,,0,,4,
5116880,160,51,,,,,,Claremont town,378,217,343,240,378,343,282,251,84,78,2,7,2,0,1,0,2,0,5,7
5116992,160,51,,,,,,Clarksville town,1139,768,1329,753,1139,1329,820,946,293,356,1,5,6,5,0,0,4,1,15,16
5117120,160,51,,,,,,Claypool Hill CDP,1776,770,1719,760,1776,1719,1744,1701,2,1,5,3,23,9,0,0,1,2,1,3
5117296,160,51,,,,,,Cleveland town,202,116,148,113,202,148,195,145,5,0,0,0,0,0,0,0,0,0,2,3
5117440,160,51,,,,,,Clifton Forge town,3884,2004,4289,2069,3884,4289,3278,3558,457,627,9,4,14,2,2,0,16,21,108,77
5117504,160,51,,,,,,Clinchco town,337,197,424,226,337,424,318,384,16,38,1,0,0,0,0,0,0,1,2,1
5117536,160,51,,,,,,Clinchport town,70,38,77,38,70,77,70,76,0,0,0,0,0,0,0,0,0,0,0,1
5117552,160,51,,,,,,Clintwood town,1414,710,1549,756,1414,1549,1396,1526,4,3,0,3,2,2,0,0,4,0,8,15
5117632,160,51,,,,,,Clover CDP,438,226,,,438,,233,,197,,1,,1,,0,,1,,5,
5117776,160,51,,,,,,Cluster Springs CDP,811,387,,,811,,637,,152,,3,,7,,0,,7,,5,
5117952,160,51,,,,,,Coeburn town,2139,962,1996,923,2139,1996,2032,1902,62,56,2,4,0,2,0,1,17,1,26,30
5118352,160,51,,,,,,Collinsville CDP,7335,3765,7777,3758,7335,7777,5678,6598,1002,877,17,11,58,49,0,14,455,154,125,74
5118448,160,51,,,,,,Colonial Heights city,17411,7831,16897,7340,17411,16897,14326,15052,1783,1059,68,32,578,459,8,14,258,108,390,173
5118624,160,51,,,,,,Columbia town,83,30,49,22,83,49,44,31,39,14,0,0,0,0,0,0,0,0,0,4
5118880,160,51,,,,,,Concord CDP,1458,619,,,1458,,1253,,171,,2,,3,,0,,9,,20,
5119560,160,51,,,,,,Countryside CDP,10072,3698,,,10072,,7353,,697,,25,,1041,,7,,533,,416,
5119571,160,51,,,,,,County Center CDP,3270,1137,,,3270,,1560,,1090,,4,,315,,4,,117,,180,
5119728,160,51,,,,,,Covington city,5961,3067,6303,3195,5961,6303,5014,5298,746,828,18,22,34,41,0,1,33,13,116,100
5120160,160,51,,,,,,Crewe town,2326,1078,2378,1074,2326,2378,1505,1832,672,503,20,8,0,4,0,2,87,5,42,24
5120436,160,51,,,,,,Crosspointe CDP,5802,1806,,,5802,,4537,,289,,13,,699,,4,,85,,175,
5120560,160,51,,,,,,Crozet CDP,5565,2229,2820,1041,5565,2820,5017,2592,227,166,4,2,186,17,0,0,32,10,99,33
5120752,160,51,,,,,,Culpeper town,16379,6271,9664,4139,16379,9664,10070,6848,3594,2290,92,20,341,128,17,1,1603,191,662,186
